RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-12-10 04:03:00.9492687,16,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1424,5700,DESKTOP-0S2K0MN,0,S-1-5-21-3017231399-1690936289-2787975457-1001,ServiceConfigurationChange,,,ConfigurationFileHash: SHA256=055FEBC600E6D7448CDF3812307275912927A62B1F94D0D933B64B294BC87162,,,,,,C:\Users\abish\Downloads\Sysmon\sysmonconfig.xml,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:00.948""},{""@Name"":""Configuration"",""#text"":""C:\\Users\\abish\\Downloads\\Sysmon\\sysmonconfig.xml""},{""@Name"":""ConfigurationFileHash"",""#text"":""SHA256=055FEBC600E6D7448CDF3812307275912927A62B1F94D0D933B64B294BC87162""}]}}"
2,2,2025-12-10 04:03:01.2259358,4,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Sysmon service state changed,,,Sysmon Version 15.15,Status: Started,Timestamp: 2025-12-10 04:03:01.222,,,,,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:01.222""},{""@Name"":""State"",""#text"":""Started""},{""@Name"":""Version"",""#text"":""15.15""},{""@Name"":""SchemaVersion"",""#text"":""4.90""}]}}"
3,3,2025-12-10 04:03:01.2285046,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 4960, ProcessGUID: 1111e010-f0f5-6938-5001-000000000400",RuleName: -,"MD5=7663C565BF28115506CB7EBD1DA389E0,SHA256=D9C8FDFDCE510FD9922DA3A1084B6AC4476C1407D1D8BBB67FC0A61988552771,IMPHASH=A039666F8D08DD16E0909469DA998438",ParentProcess: C:\Windows\System32\services.exe,"ParentProcessID: 656, ParentProcessGUID: 1111e010-edfe-6938-0b00-000000000400",ParentCommandLine: C:\Windows\system32\services.exe,C:\Windows\Sysmon64.exe,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:01.010""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f0f5-6938-5001-000000000400""},{""@Name"":""ProcessId"",""#text"":""4960""},{""@Name"":""Image"",""#text"":""C:\\Windows\\Sysmon64.exe""},{""@Name"":""FileVersion"",""#text"":""15.15""},{""@Name"":""Description"",""#text"":""System activity monitor""},{""@Name"":""Product"",""#text"":""Sysinternals Sysmon""},{""@Name"":""Company"",""#text"":""Sysinternals - www.sysinternals.com""},{""@Name"":""OriginalFileName"",""#text"":""-""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\Sysmon64.exe""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""1111e010-edfe-6938-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=7663C565BF28115506CB7EBD1DA389E0,SHA256=D9C8FDFDCE510FD9922DA3A1084B6AC4476C1407D1D8BBB67FC0A61988552771,IMPHASH=A039666F8D08DD16E0909469DA998438""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-edfe-6938-0b00-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""656""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\services.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\system32\\services.exe""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
4,4,2025-12-10 04:03:01.2287985,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,NT AUTHORITY\SYSTEM,,"ProcessID: 7160, ProcessGUID: 1111e010-f0f5-6938-5101-000000000400",RuleName: -,"MD5=9B782B1E1D7A2C28302755F963EAC907,SHA256=FABB8CC6DE82A79F1EED0976E5CE741FF3B9D5B1B40D90146052F4393CCA80A3,IMPHASH=87E54E3D04D772F26002D8B564B2426C",ParentProcess: C:\Windows\System32\svchost.exe,"ParentProcessID: 788, ParentProcessGUID: 1111e010-edfe-6938-0d00-000000000400",ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\system32\wbem\unsecapp.exe -Embedding,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:01.166""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f0f5-6938-5101-000000000400""},{""@Name"":""ProcessId"",""#text"":""7160""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\wbem\\unsecapp.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.19041.1320 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Sink to receive asynchronous callbacks for WMI client application""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""unsecapp.dll""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\wbem\\unsecapp.exe -Embedding""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""NT AUTHORITY\\SYSTEM""},{""@Name"":""LogonGuid"",""#text"":""1111e010-edfe-6938-e703-000000000000""},{""@Name"":""LogonId"",""#text"":""0x3E7""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""System""},{""@Name"":""Hashes"",""#text"":""MD5=9B782B1E1D7A2C28302755F963EAC907,SHA256=FABB8CC6DE82A79F1EED0976E5CE741FF3B9D5B1B40D90146052F4393CCA80A3,IMPHASH=87E54E3D04D772F26002D8B564B2426C""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-edfe-6938-0d00-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""788""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
5,5,2025-12-10 04:03:02.0840724,5,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process terminated,DESKTOP-0S2K0MN\abish,,"ProcessID: 1424, ProcessGUID: 1111e010-f0f4-6938-4a01-000000000400",,,,,,C:\Users\abish\Downloads\Sysmon\Sysmon64.exe,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:02.081""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f0f4-6938-4a01-000000000400""},{""@Name"":""ProcessId"",""#text"":""1424""},{""@Name"":""Image"",""#text"":""C:\\Users\\abish\\Downloads\\Sysmon\\Sysmon64.exe""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""}]}}"
6,6,2025-12-10 04:03:28.8019278,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,DESKTOP-0S2K0MN\abish,,"ProcessID: 2800, ProcessGUID: 1111e010-f110-6938-5201-000000000400",RuleName: -,"MD5=3FB5CF71F7E7EB49790CB0E663434D80,SHA256=41F067C3A11B02FE39947F9EBA68AE5C7CB5BD1872A6009A4CD1506554A9ABA9,IMPHASH=803254E010814E69947095A2725B2AFD",ParentProcess: C:\Windows\System32\cmd.exe,"ParentProcessID: 4328, ParentProcessGUID: 1111e010-f009-6938-e500-000000000400","ParentCommandLine: ""C:\Windows\system32\cmd.exe"" ",sc  query sysmon,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:28.798""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f110-6938-5201-000000000400""},{""@Name"":""ProcessId"",""#text"":""2800""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\sc.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.19041.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Service Control Manager Configuration Tool""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""sc.exe""},{""@Name"":""CommandLine"",""#text"":""sc  query sysmon""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Users\\abish\\Downloads\\Sysmon\\""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""},{""@Name"":""LogonGuid"",""#text"":""1111e010-eeb6-6938-4994-070000000000""},{""@Name"":""LogonId"",""#text"":""0x79449""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""High""},{""@Name"":""Hashes"",""#text"":""MD5=3FB5CF71F7E7EB49790CB0E663434D80,SHA256=41F067C3A11B02FE39947F9EBA68AE5C7CB5BD1872A6009A4CD1506554A9ABA9,IMPHASH=803254E010814E69947095A2725B2AFD""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-f009-6938-e500-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""4328""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Windows\\system32\\cmd.exe\"" ""},{""@Name"":""ParentUser"",""#text"":""DESKTOP-0S2K0MN\\abish""}]}}"
7,7,2025-12-10 04:03:42.3465340,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,DESKTOP-0S2K0MN\abish,,"ProcessID: 2224, ProcessGUID: 1111e010-f11e-6938-5301-000000000400",RuleName: -,"MD5=18CD5FF031BEDCD29AB0B8FDD72175AD,SHA256=9ED318124E781501D97BC63DDCCEC6BADC646D5EDD74ABAC8788551DB4ACD4A1,IMPHASH=9ACEBDFAC77931C2B0DFBBEA2D494BA9",ParentProcess: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"ParentProcessID: 5680, ParentProcessGUID: 1111e010-eec4-6938-6e00-000000000400","ParentCommandLine: ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=asset_store.mojom.AssetStoreService --lang=en-US --service-sandbox-type=asset_store_service --ram-no-pressure-read-main-dll --metrics-shmem-handle=3496,i,18236440946799936149,10039648972489142172,524288 --field-trial-handle=2228,i,5221432224594371564,17681829210636758743,262144 --variations-seed-version --trace-process-track-uuid=3190709027541712850 --mojo-platform-channel-handle=3884 /prefetch:8",False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:42.319""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f11e-6938-5301-000000000400""},{""@Name"":""ProcessId"",""#text"":""2224""},{""@Name"":""Image"",""#text"":""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe""},{""@Name"":""FileVersion"",""#text"":""143.0.3650.66""},{""@Name"":""Description"",""#text"":""Microsoft Edge""},{""@Name"":""Product"",""#text"":""Microsoft Edge""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""msedge.exe""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe\"" --type=utility --utility-sub-type=asset_store.mojom.AssetStoreService --lang=en-US --service-sandbox-type=asset_store_service --ram-no-pressure-read-main-dll --metrics-shmem-handle=3496,i,18236440946799936149,10039648972489142172,524288 --field-trial-handle=2228,i,5221432224594371564,17681829210636758743,262144 --variations-seed-version --trace-process-track-uuid=3190709027541712850 --mojo-platform-channel-handle=3884 /prefetch:8""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\143.0.3650.66\\""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""},{""@Name"":""LogonGuid"",""#text"":""1111e010-eeb6-6938-7e94-070000000000""},{""@Name"":""LogonId"",""#text"":""0x7947E""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""Low""},{""@Name"":""Hashes"",""#text"":""MD5=18CD5FF031BEDCD29AB0B8FDD72175AD,SHA256=9ED318124E781501D97BC63DDCCEC6BADC646D5EDD74ABAC8788551DB4ACD4A1,IMPHASH=9ACEBDFAC77931C2B0DFBBEA2D494BA9""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-eec4-6938-6e00-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""5680""},{""@Name"":""ParentImage"",""#text"":""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe\"" --no-startup-window --win-session-start""},{""@Name"":""ParentUser"",""#text"":""DESKTOP-0S2K0MN\\abish""}]}}"
8,8,2025-12-10 04:03:53.5622750,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,DESKTOP-0S2K0MN\abish,,"ProcessID: 8076, ProcessGUID: 1111e010-f129-6938-5401-000000000400",RuleName: -,"MD5=3FB5CF71F7E7EB49790CB0E663434D80,SHA256=41F067C3A11B02FE39947F9EBA68AE5C7CB5BD1872A6009A4CD1506554A9ABA9,IMPHASH=803254E010814E69947095A2725B2AFD",ParentProcess: C:\Windows\System32\cmd.exe,"ParentProcessID: 4328, ParentProcessGUID: 1111e010-f009-6938-e500-000000000400","ParentCommandLine: ""C:\Windows\system32\cmd.exe"" ",sc  query sysmon64,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:03:53.560""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f129-6938-5401-000000000400""},{""@Name"":""ProcessId"",""#text"":""8076""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\sc.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.19041.1 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Service Control Manager Configuration Tool""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""sc.exe""},{""@Name"":""CommandLine"",""#text"":""sc  query sysmon64""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Users\\abish\\Downloads\\Sysmon\\""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""},{""@Name"":""LogonGuid"",""#text"":""1111e010-eeb6-6938-4994-070000000000""},{""@Name"":""LogonId"",""#text"":""0x79449""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""High""},{""@Name"":""Hashes"",""#text"":""MD5=3FB5CF71F7E7EB49790CB0E663434D80,SHA256=41F067C3A11B02FE39947F9EBA68AE5C7CB5BD1872A6009A4CD1506554A9ABA9,IMPHASH=803254E010814E69947095A2725B2AFD""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-f009-6938-e500-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""4328""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Windows\\system32\\cmd.exe\"" ""},{""@Name"":""ParentUser"",""#text"":""DESKTOP-0S2K0MN\\abish""}]}}"
9,9,2025-12-10 04:04:32.1138328,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,DESKTOP-0S2K0MN\abish,,"ProcessID: 232, ProcessGUID: 1111e010-f150-6938-5501-000000000400",RuleName: -,"MD5=0686C38F513C3C5A7ABB07388FA4DB87,SHA256=5402CEFB8E7351079FC73A247056AF66678560568486DE484374213B643B4FBE,IMPHASH=3198144220BF18551FB10AC902B2BACF",ParentProcess: C:\Windows\System32\svchost.exe,"ParentProcessID: 788, ParentProcessGUID: 1111e010-edfe-6938-0d00-000000000400",ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p,C:\Windows\System32\smartscreen.exe -Embedding,False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:04:32.096""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f150-6938-5501-000000000400""},{""@Name"":""ProcessId"",""#text"":""232""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\smartscreen.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.19041.2913 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Windows Defender SmartScreen""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""smartscreen.exe""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\System32\\smartscreen.exe -Embedding""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""},{""@Name"":""LogonGuid"",""#text"":""1111e010-eeb6-6938-7e94-070000000000""},{""@Name"":""LogonId"",""#text"":""0x7947E""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""Medium""},{""@Name"":""Hashes"",""#text"":""MD5=0686C38F513C3C5A7ABB07388FA4DB87,SHA256=5402CEFB8E7351079FC73A247056AF66678560568486DE484374213B643B4FBE,IMPHASH=3198144220BF18551FB10AC902B2BACF""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-edfe-6938-0d00-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""788""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p""},{""@Name"":""ParentUser"",""#text"":""NT AUTHORITY\\SYSTEM""}]}}"
10,10,2025-12-10 04:04:32.2340668,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,4960,7188,DESKTOP-0S2K0MN,0,S-1-5-18,Process creation,DESKTOP-0S2K0MN\abish,,"ProcessID: 2804, ProcessGUID: 1111e010-f150-6938-5601-000000000400",RuleName: -,"MD5=B559E88529827CD4D072474E60B9D001,SHA256=A552E94E2D51C616004FBD165559EA23DA9410AC6CDBF4E70645B5F4D5988C65,IMPHASH=5AEF584EA4BCED674B66847FE9D61F23",ParentProcess: C:\Windows\explorer.exe,"ParentProcessID: 3912, ParentProcessGUID: 1111e010-eeb7-6938-5500-000000000400",ParentCommandLine: C:\Windows\Explorer.EXE,"""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s",False,c:\temp\6475c822607415853134a0e4383d2ab2_sysmonactivity.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2025-12-10 04:04:32.223""},{""@Name"":""ProcessGuid"",""#text"":""1111e010-f150-6938-5601-000000000400""},{""@Name"":""ProcessId"",""#text"":""2804""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\mmc.exe""},{""@Name"":""FileVersion"",""#text"":""10.0.19041.2913 (WinBuild.160101.0800)""},{""@Name"":""Description"",""#text"":""Microsoft Management Console""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""mmc.exe""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\mmc.exe\"" \""C:\\Windows\\system32\\eventvwr.msc\"" /s""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\Windows\\system32\\""},{""@Name"":""User"",""#text"":""DESKTOP-0S2K0MN\\abish""},{""@Name"":""LogonGuid"",""#text"":""1111e010-eeb6-6938-7e94-070000000000""},{""@Name"":""LogonId"",""#text"":""0x7947E""},{""@Name"":""TerminalSessionId"",""#text"":""1""},{""@Name"":""IntegrityLevel"",""#text"":""Medium""},{""@Name"":""Hashes"",""#text"":""MD5=B559E88529827CD4D072474E60B9D001,SHA256=A552E94E2D51C616004FBD165559EA23DA9410AC6CDBF4E70645B5F4D5988C65,IMPHASH=5AEF584EA4BCED674B66847FE9D61F23""},{""@Name"":""ParentProcessGuid"",""#text"":""1111e010-eeb7-6938-5500-000000000400""},{""@Name"":""ParentProcessId"",""#text"":""3912""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\explorer.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\Explorer.EXE""},{""@Name"":""ParentUser"",""#text"":""DESKTOP-0S2K0MN\\abish""}]}}"
